2;1;118;ESCUELA EP N°52/ESB N°16;JUAN PABLO II Y CROTTO;394;589;598
2;1;118;JARDIN DE INFANTES N°904;ORTEGA Y GASSET 2010;394;607;609
2;1;118;INST.SECUND.MARTIN CORONADO;NAHUEL HUAPI 6658;394;599;602
2;1;118;CENTRO DE FORMAC.PROFES.N°402;PADRE CARISIO PIZZONI 2045;394;603;606
2;1;118;JARDIN DE INFANTES N°929;AV.MARQUEZ 2521;394;573;577
2;1;118;JARDIN DE INFANTES N°921;AV.CHURRUCA 10485;394;618;620
2;1;118;JARDIN DE INF.MUNIC.DESPERTAR;AV.CHURRUCA 10131;394;621;624
2;1;118;JARDIN DE INFANTES N°915;GRAL. LOPEZ N°1554;394;625;627
2;1;118;JARDIN DE INFANTES N°923;IGUAZU 9710;394;630;633
2;1;118;JARDIN DE INFANTES N°922;JUAN PABLO II N°2058;394;520;523
2;1;118;JARD.DE INF.MUNIC.PEPINO 88;METZIG 2124;394;628;629
2;1;118;ESCUELA EP N°28/ES N°17;DE LOS JACARANDAES 3035;394A;634;641
2;1;118;INST.SUP.PALOMAR DE CASEROS;AVIADOR WERNICKE 543;394A;648;651
2;1;118;ESCUELA ES N°2;AVIADOR MATIENZO 2430;394A;652;663
2;1;118;ESCUELA EST N°2;AVIADOR BRADLEY 7350;394A;664;673
2;1;118;COLEGIO ALAS;MISIONES 6434;394A;642;647
2;1;118;ESCUELA EP N°37/ES N°13 ANEXO;MANUELA PEDRAZA 737;395;674;682
2;1;118;ESCUELA EP N°24;SANTOS VEGA 6920;395;683;688
2;1;118;COLEGIO PIO XII;JOSE HERNANDEZ 945;395;689;696
2;1;118;INSTITUTO PRECIOSISIMA SANGRE;POGGIO 720;395;697;706
2;1;118;ESCUELA EP N°16/ESB N°7;GAUCHO CRUZ 5644;395;707;717
2;1;118;COLEGIO GABRIELA MISTRAL;MAGALDI 729;395;718;722
2;1;118;ESCUELA EP N°38;RIO SALADO 8921;395;732;743
2;1;118;ESCUELA EP N°42;GRAL.PICO 10511;395;744;753
2;1;118;COLEGIO NTRA.SRA.DE LOURDES;AV.MARQUEZ 745;395;754;763
2;1;118;INST.CRIST.EVANGELICO ARGENTIN;4 DE NOVIEMBRE 5020;395;791;794
2;1;118;INSTITUTO EDUC.JOSE BIEDMA;COCHABAMBA 1130;395;775;778
2;1;118;COLEGIO JUAN XXIII;JUAN XXIII 1150;395;779;784
2;1;118;ESCUELA ES N°10;RIO SALADO 8765;395;764;774
2;1;118;ESCUELA ES N°13;JUAN XXIII 1116;395;723;731
2;1;118;ESCUELA ESB N°19;ASCASUBI 7073;395;795;797
2;1;118;ESCUELA ESB N°14;1°JUNTA 10512;395;785;790
